Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
CAR,Abra,Bangued,16.8,2.1,12.7
CAR,Abra,Boliney,50.6,9.5,18.9
CAR,Abra,Bucay,36.2,5.8,16.1
CAR,Abra,Bucloc,77.2,10.1,13
CAR,Abra,Daguioman,32.2,8.8,27.3
CAR,Abra,Danglas,32,7.3,22.8
CAR,Abra,Dolores,33.5,5,15
CAR,Abra,La Paz,36,5.4,14.9
CAR,Abra,Lacub,67.2,9.5,14.2
CAR,Abra,Lagangilang,27.5,4.5,16.5
CAR,Abra,Lagayan,41.4,7.8,18.8
CAR,Abra,Langiden,46,8.1,17.6
CAR,Abra,Licuan-Baay (Licuan),46.7,8.4,18
CAR,Abra,Luba,36.2,6.7,18.5
CAR,Abra,Malibcong,55.6,8.8,15.8
CAR,Abra,Manabo,34.9,6.9,19.8
CAR,Abra,Peñarrubia,35.7,7,19.6
CAR,Abra,Pidigan,25.9,4.9,18.9
CAR,Abra,Pilar,42.8,6.2,14.4
CAR,Abra,Sallapadan,62,8.2,13.2
CAR,Abra,San Isidro,42.3,6.7,15.9
CAR,Abra,San Juan,33.7,6.6,19.7
CAR,Abra,San Quintin,28.7,6.7,23.3
CAR,Abra,Tayum,23.7,4.4,18.7
CAR,Abra,Tineg,43.2,8.6,19.9
CAR,Abra,Tubo,56.4,9.4,16.6
CAR,Abra,Villaviciosa,49.1,7.7,15.7
